student_id,age,gender,learning_style,attendance,assignment_score,quiz_score,time_spent_hours,attempts,subject_strength,subject_weakness,previous_score,internet_access,parental_support,extracurricular,stress_level,engagement_score,consistency_score,learning_efficiency,final_score,cluster_label,predicted_score
S0326,16,Male,Visual,100.0,48.2,63.6,4.87,8,Algebra,Chemistry,52.0,1,High,1,Medium,88.7,74.1,12.8,61.2,Fast Learner,63.392044
S0327,22,Female,Reading/Writing,94.9,96.2,67.9,5.34,5,Statistics,Physics,87.8,0,Medium,1,High,78.4,95.55,12.48,86.3,Fast Learner,82.75245
S0328,18,Female,Visual,81.3,60.7,80.3,4.2,4,Literature,Algebra,53.2,1,Medium,1,Low,62.0,71.0,18.67,59.7,Low Engagement,63.340557
S0329,21,Male,Auditory,59.1,66.4,10.0,1.01,6,Geometry,Calculus,76.8,1,High,1,Low,40.1,62.75,9.01,52.9,Low Engagement,53.8367
S0330,14,Female,Visual,82.2,75.4,100.0,0.9,5,Calculus,Algebra,68.4,1,Medium,1,Medium,34.0,78.8,100.0,81.2,Struggling Learner,81.68869
S0331,18,Male,Visual,86.1,75.1,53.4,6.18,7,Computer Science,Physics,79.2,0,Low,1,Medium,96.8,80.6,8.5,72.3,Fast Learner,69.60591
S0332,16,Male,Auditory,71.2,83.4,72.8,5.53,7,History,Physics,100.0,1,Medium,1,High,90.3,77.3,12.93,78.6,Fast Learner,76.22935
S0333,14,Male,Visual,79.8,63.2,33.9,5.88,4,Chemistry,Algebra,76.8,1,Medium,0,High,78.8,71.5,5.67,58.2,Fast Learner,59.13883
S0334,17,Male,Reading/Writing,97.6,49.5,59.5,5.27,5,History,Geometry,67.9,1,High,0,Low,77.7,73.55,11.08,61.6,Fast Learner,62.55188
S0335,18,Male,Visual,62.1,46.4,92.9,5.43,3,Biology,Computer Science,100.0,1,Medium,1,Low,69.3,54.25,16.8,75.1,Low Engagement,66.37648
S0336,20,Female,Auditory,59.1,59.6,29.7,6.94,4,Physics,Algebra,72.0,1,High,1,Medium,89.4,59.35,4.22,47.9,Fast Learner,50.90755
S0337,14,Female,Reading/Writing,85.4,52.9,90.5,5.89,4,Literature,Statistics,49.1,1,Medium,1,Medium,78.9,69.15,15.11,66.9,Fast Learner,70.59647
S0338,16,Male,Auditory,81.9,64.5,62.5,7.08,3,Statistics,Computer Science,78.7,1,Medium,1,Medium,85.8,73.2,8.7,71.9,Fast Learner,68.3641
S0339,15,Female,Auditory,90.4,93.5,77.7,5.34,5,Chemistry,Algebra,73.9,1,High,1,Low,78.4,91.95,14.28,82.1,Fast Learner,81.82198
S0340,22,Female,Kinesthetic,83.5,63.2,81.2,4.4,5,Geometry,Literature,58.8,1,Medium,1,Medium,69.0,73.35,18.04,77.5,Low Engagement,72.80493
S0341,23,Male,Kinesthetic,66.5,63.2,76.8,5.39,7,Geometry,Biology,54.6,0,High,1,Medium,88.9,64.85,13.99,65.7,Fast Learner,65.30477
S0342,19,Female,Auditory,81.5,69.7,50.7,3.33,4,Geometry,Biology,59.0,1,Medium,1,Medium,53.3,75.6,14.78,58.8,Low Engagement,62.6186
S0343,23,Other,Auditory,57.9,62.7,60.7,4.24,4,Computer Science,Physics,54.4,1,Medium,0,Medium,62.4,60.3,13.99,59.1,Low Engagement,58.74259
S0344,16,Male,Auditory,71.2,68.8,38.8,5.36,9,Biology,Algebra,59.7,0,Low,0,Medium,98.6,70.0,7.11,55.6,Fast Learner,57.506256
S0345,21,Male,Kinesthetic,82.5,79.7,77.8,5.33,6,Geometry,Statistics,48.1,1,Medium,1,Medium,83.3,81.1,14.33,70.4,Fast Learner,72.77834
S0346,21,Female,Kinesthetic,69.6,85.9,100.0,4.79,4,Geometry,Statistics,72.7,0,Medium,0,Low,67.9,77.75,20.45,85.1,Low Engagement,83.74204
S0347,15,Female,Visual,100.0,88.1,31.5,2.22,2,Literature,Biology,71.2,1,High,1,Low,32.2,94.05,13.58,74.7,Low Engagement,70.07819
S0348,19,Male,Visual,46.6,100.0,52.8,6.27,6,Biology,Calculus,71.9,1,Medium,0,Medium,92.7,73.3,8.29,64.8,Fast Learner,65.441635
S0349,20,Female,Auditory,66.8,80.2,64.4,6.67,2,Calculus,Geometry,63.8,1,Medium,0,Medium,76.7,73.5,9.51,62.2,Fast Learner,65.404976
S0350,15,Female,Reading/Writing,60.9,100.0,71.5,8.29,5,Calculus,Computer Science,61.4,1,Low,1,Medium,100.0,80.45,8.52,73.5,Fast Learner,74.000206
S0351,24,Female,Reading/Writing,64.5,56.0,85.6,5.88,6,Biology,Geometry,93.8,0,Low,1,Medium,88.8,60.25,14.31,72.7,Fast Learner,71.61911
S0352,23,Female,Kinesthetic,65.4,100.0,65.0,5.0,4,Physics,Algebra,66.3,1,Medium,0,Medium,70.0,82.7,12.75,73.8,Low Engagement,73.26599
S0353,15,Female,Kinesthetic,55.1,63.2,61.7,2.97,3,Computer Science,Physics,90.3,0,High,1,High,44.7,59.15,20.1,66.5,Low Engagement,63.18067
S0354,23,Male,Kinesthetic,86.3,64.9,90.1,7.98,7,Chemistry,Biology,45.1,1,High,1,Low,100.0,75.6,11.15,77.7,Fast Learner,75.79295
S0355,14,Male,Auditory,66.8,67.8,81.2,5.5,2,History,Chemistry,76.8,1,High,1,Low,65.0,67.3,14.5,64.2,Low Engagement,67.80029
S0356,21,Female,Reading/Writing,77.5,66.1,78.8,5.39,6,Literature,History,50.3,1,High,0,Low,83.9,71.8,14.35,66.7,Fast Learner,66.470146
S0357,14,Female,Visual,68.5,71.5,70.3,4.49,4,Algebra,Statistics,53.9,1,Medium,1,Medium,64.9,70.0,15.32,58.7,Low Engagement,62.2951
S0358,22,Male,Auditory,64.6,59.6,87.7,4.36,6,Calculus,Algebra,56.8,1,High,1,Medium,73.6,62.1,19.66,73.3,Low Engagement,69.78072
S0359,24,Female,Visual,100.0,84.9,54.9,6.38,4,Biology,Chemistry,55.5,1,Low,0,Low,83.8,92.45,8.47,62.5,Fast Learner,66.27619
S0360,19,Female,Visual,88.8,60.0,52.1,2.96,4,Chemistry,Physics,55.6,1,Medium,1,Medium,49.6,74.4,17.03,54.6,Low Engagement,58.3921
S0361,20,Male,Auditory,47.0,81.8,82.9,8.25,4,Biology,Computer Science,89.3,1,Medium,1,Low,100.0,64.4,9.93,69.8,Fast Learner,72.081184
S0362,23,Female,Visual,45.4,97.5,35.5,7.82,9,History,Chemistry,65.9,1,Low,1,Medium,100.0,71.45,4.48,62.3,Fast Learner,60.77733
S0363,20,Female,Reading/Writing,90.6,63.6,69.8,4.29,7,Chemistry,Calculus,69.5,1,High,1,Medium,77.9,77.1,15.9,67.8,Fast Learner,71.47168
S0364,23,Female,Visual,67.2,84.3,61.7,3.27,3,Calculus,Geometry,55.9,1,Medium,0,High,47.7,75.75,18.31,63.9,Low Engagement,63.423668
S0365,16,Female,Reading/Writing,50.3,80.1,39.9,0.97,3,Geometry,Chemistry,82.1,0,High,0,Low,24.7,65.2,37.29,54.9,Low Engagement,56.718376
S0366,15,Male,Reading/Writing,90.7,100.0,49.4,2.5,6,Biology,Algebra,72.1,1,Medium,1,High,55.0,95.35,19.0,74.5,Low Engagement,73.86214
S0367,22,Female,Reading/Writing,77.5,60.9,65.8,6.46,6,Algebra,Biology,58.8,0,Low,1,High,94.6,69.2,10.03,58.9,Fast Learner,61.616463
S0368,21,Male,Kinesthetic,78.8,84.3,88.7,5.63,4,Calculus,Biology,33.3,1,High,1,Low,76.3,81.55,15.48,70.7,Fast Learner,72.22975
S0369,23,Male,Visual,87.1,40.7,54.9,5.99,9,Statistics,Computer Science,69.3,0,Medium,1,Low,100.0,63.9,9.01,68.0,Fast Learner,63.623795
S0370,20,Female,Auditory,55.4,61.1,92.3,1.31,4,Algebra,Biology,76.5,1,Medium,0,Medium,33.1,58.25,65.46,71.5,Struggling Learner,71.3023
S0371,22,Male,Auditory,50.5,76.4,69.3,4.21,9,Physics,Computer Science,45.4,1,Low,0,High,87.1,63.45,16.08,66.7,Fast Learner,64.75705
S0372,17,Male,Visual,98.7,95.1,94.2,7.73,4,Computer Science,Algebra,59.1,1,Medium,1,High,97.3,96.9,12.03,88.3,Fast Learner,87.274345
S0373,17,Female,Kinesthetic,53.4,47.9,55.9,4.81,2,Calculus,Statistics,75.7,1,Medium,0,Medium,58.1,50.65,11.38,52.3,Low Engagement,53.005802
S0374,14,Male,Kinesthetic,56.7,84.1,67.0,2.46,2,Geometry,Biology,33.6,1,Medium,1,High,34.6,70.4,26.17,64.7,Low Engagement,63.53397
S0375,21,Male,Reading/Writing,59.7,68.9,75.4,4.78,5,Calculus,Literature,52.0,1,High,0,Low,72.8,64.3,15.45,68.3,Low Engagement,63.343365
S0376,16,Female,Visual,100.0,42.6,64.4,3.46,4,History,Physics,72.5,1,High,1,Low,54.6,71.3,18.09,68.6,Low Engagement,65.16581
S0377,20,Female,Visual,82.4,73.3,87.1,5.67,7,Chemistry,Geometry,87.1,0,High,0,High,91.7,77.85,15.1,78.2,Fast Learner,79.44434
S0378,15,Male,Auditory,89.5,100.0,23.8,5.04,5,Biology,Calculus,100.0,1,High,1,High,75.4,94.75,4.63,73.6,Fast Learner,70.233055
S0379,15,Female,Visual,77.9,49.8,100.0,6.09,6,Chemistry,Computer Science,100.0,1,Medium,1,Medium,90.9,63.85,16.16,64.2,Fast Learner,68.3415
S0380,20,Female,Kinesthetic,66.0,68.0,85.2,2.56,4,Chemistry,Algebra,67.9,1,Medium,0,High,45.6,67.0,32.03,74.2,Low Engagement,73.02948
S0381,19,Female,Visual,84.5,52.2,64.5,4.1,2,Calculus,Biology,55.3,0,Low,0,High,51.0,68.35,15.36,59.4,Low Engagement,59.907936
S0382,16,Female,Auditory,51.7,61.6,57.0,7.18,9,History,Chemistry,83.5,1,Low,0,High,100.0,56.65,7.83,62.2,Fast Learner,58.10336
S0383,22,Other,Reading/Writing,58.6,95.8,50.7,2.29,7,Biology,Computer Science,54.1,1,High,1,High,57.9,77.2,21.21,60.9,Low Engagement,60.09309
S0384,23,Female,Auditory,86.0,65.1,80.9,2.99,4,Biology,Computer Science,49.8,1,Medium,0,High,49.9,75.55,26.18,63.7,Low Engagement,68.65782
S0385,19,Female,Auditory,54.6,95.2,87.9,5.4,3,Chemistry,Calculus,58.9,1,Medium,1,Low,69.0,74.9,15.98,76.7,Low Engagement,75.49879
S0386,23,Female,Reading/Writing,72.2,90.0,64.7,5.57,3,Physics,Calculus,56.4,1,Medium,1,High,70.7,81.1,11.41,62.6,Low Engagement,65.3779
S0387,23,Male,Auditory,72.8,63.5,90.1,4.02,9,Computer Science,Biology,73.3,1,Medium,1,Low,85.2,68.15,21.87,71.6,Fast Learner,73.879845
S0388,19,Male,Auditory,67.1,61.0,49.9,4.44,5,History,Geometry,53.0,1,Low,0,High,69.4,64.05,10.99,52.1,Low Engagement,53.350433
S0389,14,Female,Visual,45.7,53.9,46.3,6.07,3,Physics,Algebra,66.7,1,Low,1,Medium,75.7,49.8,7.5,48.9,Fast Learner,51.21995
S0390,17,Female,Visual,65.6,53.2,100.0,6.7,5,Literature,Physics,96.9,1,Low,0,Medium,92.0,59.4,14.71,78.4,Fast Learner,74.525345
S0391,23,Female,Reading/Writing,62.6,76.4,79.8,2.86,2,Literature,Biology,67.4,0,Medium,1,Medium,38.6,69.5,26.96,66.6,Low Engagement,69.23413
S0392,19,Male,Visual,77.4,69.6,95.9,5.73,4,Algebra,Biology,95.3,0,Medium,1,Low,77.3,73.5,16.45,81.1,Fast Learner,77.78675
S0393,19,Female,Visual,76.7,58.8,50.9,8.02,2,Chemistry,Biology,89.0,1,Low,1,Low,90.2,67.75,6.27,66.1,Fast Learner,64.33032
S0394,24,Male,Auditory,80.7,42.1,49.5,4.77,2,Biology,Calculus,76.8,1,High,1,High,57.7,61.4,10.16,52.6,Low Engagement,53.681812
S0395,18,Male,Kinesthetic,64.9,71.9,60.8,2.84,8,Calculus,Computer Science,57.9,1,Medium,0,High,68.4,68.4,20.68,59.9,Low Engagement,62.02393
S0396,14,Female,Visual,82.8,61.5,51.5,2.75,1,Biology,Geometry,85.8,0,Medium,0,Medium,32.5,72.15,18.07,68.9,Low Engagement,67.17635
S0397,21,Female,Kinesthetic,51.7,66.5,82.1,4.68,7,Biology,Literature,60.0,0,High,1,High,81.8,59.1,17.18,65.1,Fast Learner,65.97908
S0398,18,Female,Visual,47.7,75.5,53.0,7.07,5,Geometry,Literature,65.0,1,Medium,0,High,95.7,61.6,7.39,61.6,Fast Learner,60.56305
S0399,18,Female,Visual,40.0,25.0,44.6,4.92,8,Biology,Algebra,71.6,0,High,1,Medium,89.2,32.5,8.88,43.8,Fast Learner,44.886528
S0400,20,Male,Reading/Writing,67.5,42.4,70.8,5.38,1,Algebra,Statistics,64.9,1,High,1,Low,58.8,54.95,12.92,52.2,Low Engagement,54.714806
S0401,17,Female,Reading/Writing,63.7,100.0,42.2,3.01,7,Physics,Chemistry,50.6,0,Medium,1,High,65.1,81.85,13.57,59.7,Low Engagement,61.592697
S0402,19,Male,Reading/Writing,86.8,60.9,32.0,6.97,5,Literature,Biology,34.5,0,High,1,Medium,94.7,73.85,4.53,56.2,Fast Learner,56.73276
S0403,17,Female,Kinesthetic,65.3,24.7,70.7,2.71,4,Biology,Computer Science,84.2,1,High,1,High,47.1,45.0,25.16,44.4,Low Engagement,48.34673
S0404,16,Female,Auditory,79.1,43.9,33.0,3.99,7,Biology,Calculus,76.4,1,Medium,1,High,74.9,61.5,8.07,50.5,Fast Learner,51.267643
S0405,20,Female,Visual,87.2,100.0,83.5,6.26,2,Geometry,Computer Science,30.6,1,Medium,1,High,72.6,93.6,13.13,75.2,Fast Learner,76.02759
S0406,21,Female,Visual,64.7,57.3,40.1,0.92,1,History,Geometry,50.1,1,High,1,Medium,14.2,61.0,39.31,55.6,Low Engagement,54.9603
S0407,17,Female,Visual,79.5,90.9,23.2,5.35,1,Calculus,Statistics,68.6,1,High,0,Low,58.5,85.2,4.26,61.6,Low Engagement,65.24047
S0408,15,Female,Kinesthetic,90.0,72.2,62.1,2.92,1,History,Physics,73.9,1,Medium,0,Medium,34.2,81.1,20.56,74.8,Low Engagement,72.06017
S0409,23,Male,Reading/Writing,56.4,61.3,70.9,5.03,5,Calculus,Algebra,34.6,1,Medium,1,Medium,75.3,58.85,13.82,58.5,Fast Learner,56.494175
S0410,16,Male,Auditory,75.4,84.0,77.8,4.3,7,Computer Science,Algebra,63.2,1,High,1,Low,78.0,79.7,17.68,73.9,Fast Learner,76.021645
S0411,14,Male,Kinesthetic,64.8,27.1,71.4,9.21,2,Biology,Computer Science,75.8,0,Medium,1,Medium,100.0,45.95,7.67,54.9,Fast Learner,57.510807
S0412,21,Male,Reading/Writing,57.4,44.1,46.8,4.21,8,Geometry,Calculus,58.0,1,Medium,0,Medium,82.1,50.75,10.86,47.0,Fast Learner,47.81637
S0413,16,Female,Kinesthetic,52.0,61.1,82.3,8.69,4,Statistics,Computer Science,70.1,0,High,0,High,100.0,56.55,9.36,79.1,Fast Learner,72.65415
S0414,23,Female,Auditory,57.1,45.8,87.2,6.17,3,Chemistry,Calculus,55.2,1,Medium,0,Low,76.7,51.45,13.91,65.7,Fast Learner,65.197235
S0415,20,Male,Reading/Writing,75.9,59.5,43.9,3.4,8,Literature,History,83.2,1,Medium,0,Medium,74.0,67.7,12.54,53.9,Fast Learner,59.28204
S0416,23,Male,Kinesthetic,50.8,85.4,64.4,5.66,2,Physics,Literature,49.0,1,High,0,Low,66.6,68.1,11.18,76.2,Low Engagement,61.52358
S0417,18,Male,Auditory,66.7,72.4,62.5,4.39,3,Literature,Algebra,42.2,1,High,1,Low,58.9,69.55,13.92,59.5,Low Engagement,61.269714
S0418,23,Female,Visual,87.2,94.0,72.4,5.48,3,Physics,Geometry,65.6,1,Medium,1,Low,69.8,90.6,12.97,79.5,Low Engagement,78.26126
S0419,18,Female,Auditory,81.7,73.5,63.9,3.57,1,Computer Science,Geometry,36.3,1,Medium,1,High,40.7,77.6,17.41,69.0,Low Engagement,67.12498
S0420,20,Male,Visual,67.0,87.9,66.6,8.38,6,History,Geometry,22.9,1,Medium,0,Low,100.0,77.45,7.85,59.2,Fast Learner,63.61902
S0421,22,Female,Kinesthetic,100.0,68.8,80.8,6.85,2,Algebra,Statistics,86.7,1,High,0,High,78.5,84.4,11.63,74.7,Fast Learner,77.85973
S0422,18,Female,Reading/Writing,100.0,59.4,45.7,5.06,1,Biology,Geometry,45.3,1,Low,1,Low,55.6,79.7,8.86,68.5,Low Engagement,61.861126
S0423,14,Male,Reading/Writing,75.4,96.7,82.7,8.46,2,Statistics,Biology,38.3,1,Medium,1,High,94.6,86.05,9.66,76.3,Fast Learner,77.58011
S0424,23,Female,Kinesthetic,38.0,57.2,90.8,5.15,6,Physics,Literature,48.8,0,Medium,0,High,81.5,47.6,17.3,66.3,Fast Learner,67.46524
S0425,23,Female,Reading/Writing,88.3,76.2,100.0,7.2,4,Chemistry,Biology,47.9,0,High,1,High,92.0,82.25,13.7,78.6,Fast Learner,78.917915
S0426,14,Male,Reading/Writing,40.6,83.8,25.1,5.08,6,Physics,Chemistry,62.2,1,Low,0,High,80.8,62.2,4.85,49.7,Fast Learner,52.33826
S0427,15,Male,Visual,97.1,85.1,64.3,5.79,9,Algebra,Computer Science,43.1,1,Medium,1,High,100.0,91.1,10.92,83.3,Fast Learner,81.00723
S0428,19,Male,Kinesthetic,91.3,49.0,28.7,4.84,8,Literature,Algebra,75.0,1,Low,1,High,88.4,70.15,5.81,57.0,Fast Learner,54.790462
S0429,22,Male,Auditory,100.0,88.9,19.3,5.19,1,Geometry,Computer Science,77.9,1,High,0,Medium,56.9,94.45,3.65,61.8,Low Engagement,64.0194
S0430,21,Female,Visual,78.9,52.4,70.9,5.34,8,Literature,Geometry,39.5,1,Medium,1,Low,93.4,65.65,13.03,59.3,Fast Learner,60.868202
S0431,18,Female,Kinesthetic,69.6,84.6,60.0,3.66,9,Computer Science,Physics,52.6,1,Medium,0,Low,81.6,77.1,15.96,64.1,Fast Learner,63.60907
S0432,14,Male,Visual,68.2,79.6,74.0,4.2,6,Geometry,Physics,54.5,1,Medium,1,Low,72.0,73.9,17.21,75.6,Low Engagement,65.47145
S0433,20,Male,Auditory,66.8,84.7,77.7,4.57,5,Literature,Chemistry,61.7,0,High,1,Medium,70.7,75.75,16.64,76.0,Low Engagement,73.46278
S0434,18,Male,Auditory,89.7,48.3,93.0,5.46,6,Chemistry,Literature,86.7,1,Medium,1,Medium,84.6,69.0,16.73,69.4,Fast Learner,70.576744
S0435,19,Male,Kinesthetic,85.7,80.6,69.1,4.94,6,Literature,History,87.8,1,Low,1,High,79.4,83.15,13.71,76.0,Fast Learner,74.80024
S0436,20,Female,Auditory,76.8,89.5,100.0,7.35,9,Chemistry,History,100.0,1,Medium,1,High,100.0,83.15,13.42,87.2,Fast Learner,86.36522
S0437,16,Male,Visual,64.2,73.5,74.1,6.69,4,Chemistry,History,19.6,1,High,0,Medium,86.9,68.85,10.91,65.3,Fast Learner,63.891502
S0438,23,Male,Auditory,100.0,55.3,100.0,4.61,2,Geometry,Algebra,46.5,1,Medium,1,Medium,56.1,77.65,21.23,73.2,Low Engagement,73.90569
S0439,16,Male,Visual,88.7,86.6,21.3,7.76,9,History,Algebra,100.0,1,High,0,High,100.0,87.65,2.71,70.8,Fast Learner,71.63449
S0440,18,Female,Visual,51.0,72.1,95.0,8.75,2,Calculus,History,29.0,1,High,0,Low,97.5,61.55,10.73,68.1,Fast Learner,68.80024
S0441,19,Male,Auditory,67.3,39.9,64.4,0.91,9,Biology,Physics,100.0,1,Low,1,High,54.1,53.6,63.76,63.2,Struggling Learner,60.264217
S0442,22,Female,Kinesthetic,89.0,53.9,29.0,6.86,2,Physics,Literature,67.9,0,Medium,0,Low,78.6,71.45,4.17,50.6,Fast Learner,52.78779
S0443,18,Male,Reading/Writing,63.0,60.5,76.4,3.61,8,Calculus,Geometry,68.7,1,Medium,0,Medium,76.1,61.75,20.59,61.8,Fast Learner,64.60786
S0444,14,Female,Auditory,80.3,97.1,61.9,6.6,9,Algebra,Literature,39.4,1,Medium,1,Low,100.0,88.7,9.24,86.0,Fast Learner,83.07563
S0445,17,Female,Visual,89.3,93.9,79.6,7.48,9,History,Physics,56.0,1,Medium,0,High,100.0,91.6,10.5,89.9,Fast Learner,87.07676
S0446,18,Male,Visual,24.2,93.9,88.2,3.25,9,Calculus,Literature,99.9,1,Medium,1,Medium,77.5,59.05,26.33,72.6,Fast Learner,71.65685
S0447,23,Male,Auditory,73.4,74.2,38.2,1.3,2,Geometry,Statistics,64.0,0,High,0,Low,23.0,73.8,27.29,65.0,Low Engagement,64.101074
S0448,23,Female,Kinesthetic,74.0,86.4,88.3,6.67,4,Algebra,Geometry,56.1,0,Medium,0,Low,86.7,80.2,13.04,83.6,Fast Learner,80.28592
S0449,18,Female,Kinesthetic,68.8,49.5,68.1,5.27,7,Statistics,Algebra,73.1,1,High,0,Medium,87.7,59.15,12.68,58.7,Fast Learner,58.483032
S0450,20,Male,Visual,79.5,70.1,95.1,1.66,2,History,Physics,61.2,1,Low,1,High,26.6,74.8,54.03,72.2,Struggling Learner,75.14262
S0451,17,Female,Visual,84.9,78.1,63.9,10.06,1,Calculus,Geometry,71.9,1,Low,1,High,100.0,81.5,6.29,75.6,Fast Learner,72.75518
S0452,14,Female,Kinesthetic,77.1,50.7,58.6,6.25,3,Algebra,History,48.0,1,High,0,Medium,77.5,63.9,9.23,59.3,Fast Learner,56.51151
S0453,18,Female,Reading/Writing,69.4,73.8,68.5,6.34,4,Statistics,Computer Science,63.5,1,Medium,0,Medium,83.4,71.6,10.64,65.5,Fast Learner,66.48125
S0454,20,Male,Auditory,84.5,100.0,70.0,7.73,8,Literature,Physics,52.2,1,High,1,Medium,100.0,92.25,8.94,81.8,Fast Learner,82.17895
S0455,23,Female,Visual,75.7,80.1,54.7,3.84,6,Algebra,Physics,28.9,1,Medium,0,High,68.4,77.9,13.88,55.3,Low Engagement,58.48667
S0456,23,Male,Visual,71.5,86.5,58.1,5.26,2,Geometry,Calculus,74.6,1,Medium,1,High,62.6,79.0,10.84,69.0,Low Engagement,66.30318
S0457,19,Female,Kinesthetic,55.3,25.9,43.5,2.36,9,Literature,Biology,40.3,1,High,0,Medium,68.6,40.6,17.68,34.8,Low Engagement,39.764957
S0458,18,Male,Auditory,51.6,98.0,59.3,3.78,2,Geometry,History,61.7,1,Medium,1,High,47.8,74.8,15.28,59.6,Low Engagement,62.488953
S0459,17,Male,Kinesthetic,55.0,66.6,81.5,5.77,5,Calculus,Computer Science,83.5,0,Medium,0,Medium,82.7,60.8,13.88,64.8,Fast Learner,66.79303
S0460,15,Male,Auditory,79.2,56.2,65.3,1.67,4,Biology,Algebra,35.0,1,High,1,High,36.7,67.7,36.89,61.9,Low Engagement,61.767418
S0461,17,Female,Auditory,73.8,66.9,88.2,3.73,7,Calculus,Geometry,77.1,1,Medium,1,High,72.3,70.35,23.03,70.6,Low Engagement,73.31845
S0462,23,Male,Auditory,52.8,43.3,64.3,3.14,8,Literature,Computer Science,59.0,1,High,1,High,71.4,48.05,19.85,47.4,Low Engagement,52.51839
S0463,23,Male,Visual,84.7,88.9,39.4,5.28,5,Chemistry,Statistics,45.7,0,High,0,High,77.8,86.8,7.32,66.5,Fast Learner,65.298325
S0464,16,Male,Reading/Writing,95.6,64.0,79.9,6.15,5,Calculus,Physics,100.0,1,High,1,Low,86.5,79.8,12.78,85.5,Fast Learner,80.85607
S0465,23,Female,Kinesthetic,66.0,56.7,54.5,6.48,2,Literature,Geometry,65.0,0,Low,1,High,74.8,61.35,8.28,60.6,Fast Learner,59.393497
S0466,14,Other,Reading/Writing,48.9,67.0,63.3,7.0,8,Algebra,Computer Science,53.6,0,Medium,0,Medium,100.0,57.95,8.92,68.2,Fast Learner,58.329964
S0467,21,Male,Kinesthetic,64.4,90.1,92.8,7.74,2,Computer Science,Literature,49.4,1,High,0,Low,87.4,77.25,11.84,84.1,Fast Learner,79.30941
S0468,18,Female,Auditory,87.8,72.4,44.8,6.21,6,Calculus,Algebra,82.6,1,Medium,1,Medium,92.1,80.1,7.1,63.9,Fast Learner,68.69721
S0469,17,Female,Visual,83.2,44.6,71.3,8.77,8,Algebra,Statistics,52.8,1,Low,0,High,100.0,63.9,8.04,66.2,Fast Learner,63.552097
S0470,21,Female,Reading/Writing,61.2,78.4,67.2,5.24,6,Geometry,History,80.1,1,Medium,1,Low,82.4,69.8,12.58,67.8,Fast Learner,65.84511
S0471,20,Male,Visual,97.8,53.3,82.0,4.65,4,History,Statistics,65.0,0,Medium,1,Medium,66.5,75.55,17.26,77.3,Low Engagement,74.01599
S0472,15,Male,Kinesthetic,95.2,31.2,85.1,6.21,4,Biology,History,87.3,1,High,1,Medium,82.1,63.2,13.49,68.6,Fast Learner,68.42198
S0473,14,Male,Visual,64.0,96.9,73.3,4.57,6,Geometry,History,44.1,1,High,1,Low,75.7,80.45,15.7,68.1,Fast Learner,69.14343
S0474,24,Male,Visual,63.9,78.2,60.8,8.71,4,Geometry,Literature,46.9,1,Medium,1,Low,100.0,71.05,6.9,71.0,Fast Learner,65.70868
S0475,17,Male,Reading/Writing,66.1,68.6,77.5,7.26,8,Literature,Physics,59.4,1,Low,0,High,100.0,67.35,10.53,70.0,Fast Learner,67.48494
S0476,21,Female,Auditory,67.4,63.8,94.7,6.5,9,Chemistry,Biology,61.0,1,High,1,High,100.0,65.6,14.35,69.6,Fast Learner,73.89931
S0477,15,Male,Visual,89.3,95.1,67.5,5.26,1,Physics,Calculus,57.9,1,Medium,0,Low,57.6,92.2,12.59,73.3,Low Engagement,75.186935
S0478,16,Male,Auditory,81.4,100.0,62.7,4.19,4,Computer Science,Chemistry,100.0,0,High,1,High,61.9,90.7,14.62,75.1,Low Engagement,78.104866
S0479,14,Female,Kinesthetic,88.2,78.1,75.8,6.4,4,Chemistry,Statistics,100.0,1,Medium,1,High,84.0,83.15,11.66,73.8,Fast Learner,76.61663
S0480,14,Male,Visual,85.1,51.5,68.8,2.75,2,Literature,Computer Science,71.0,1,Medium,0,Medium,37.5,68.3,24.14,61.7,Low Engagement,63.075123
S0481,16,Female,Reading/Writing,100.0,67.2,41.2,8.07,6,Biology,Literature,73.3,0,Medium,1,High,100.0,83.6,5.04,67.8,Fast Learner,69.36356
S0482,24,Female,Kinesthetic,59.1,77.8,72.8,4.64,3,Computer Science,Literature,60.3,1,High,0,High,61.4,68.45,15.36,66.7,Low Engagement,65.17453
S0483,18,Male,Kinesthetic,80.7,27.7,41.1,5.61,7,Computer Science,Biology,44.0,1,Medium,1,Medium,91.1,54.2,7.2,45.2,Fast Learner,46.5315
S0484,16,Female,Reading/Writing,42.4,76.0,75.5,3.18,5,Literature,Algebra,61.4,1,Medium,1,Low,56.8,59.2,23.02,70.7,Low Engagement,63.436417
S0485,14,Female,Visual,55.2,77.9,52.1,6.45,4,Statistics,Geometry,80.4,0,Medium,1,High,84.5,66.55,7.95,52.1,Fast Learner,57.11031
S0486,14,Female,Visual,73.9,93.9,68.7,4.09,5,Geometry,Physics,91.1,0,High,0,Medium,65.9,83.9,16.4,77.8,Low Engagement,75.13283
S0487,21,Female,Kinesthetic,81.3,92.0,75.8,6.3,8,History,Calculus,84.9,1,High,1,Low,100.0,86.65,11.84,79.7,Fast Learner,81.19126
S0488,23,Female,Visual,73.5,72.0,100.0,6.51,3,Statistics,Geometry,34.8,1,Medium,1,Medium,80.1,72.75,15.13,69.7,Fast Learner,71.2374
S0489,24,Female,Auditory,66.5,97.3,82.9,3.7,7,Literature,Algebra,59.2,1,Medium,0,Medium,72.0,81.9,21.82,79.0,Low Engagement,77.393135
